sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
1,0.25063,3675.1,4498.9,9.3074,26.687,42.415,2702.9,74.133,120.4,0.33627,79.897,50.546,2631.5,25.197,50.884,3100.7,22.376,65.713,230.73,341.57,94.602,76.885,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.861,54.105,24.633,60.194,22.232,40.167,39.708,48.579,47.411,41.223,19.526
2,0.25125,3673.8,4484.8,9.4398,26.781,42.305,2702.3,75.06,120.38,0.33844,79.84,49.261,2631.1,26.909,50.089,3099.6,23.969,65.627,231.69,341.57,94.666,77.295,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.884,54.273,24.572,60.324,21.942,39.902,35.926,46.74,47.331,40.879,15.736
3,0.24916,3680.1,4480.0,9.4199,26.873,42.106,2706.0,74.775,120.4,0.33746,80.182,50.029,2634.9,25.5,50.737,3104.3,22.421,65.652,229.32,341.17,94.509,77.753,31.965,8.9201,26.745,6.935,18.631,1.6085,32.602,13.845,24.112,1.0939,18.321,2.2629,4.8738,2.2769,0.017866,0.8357,0.098577,53.724,43.828,62.776,54.33,24.786,61.779,22.293,40.021,38.185,48.239,47.545,40.83,19.358
4,0.25151,3678.5,4532.4,9.3396,27.138,42.054,2708.0,75.442,120.42,0.3365,80.395,51.987,2636.9,24.958,51.171,3105.0,24.033,65.744,231.02,341.4,94.518,77.593,31.965,8.9201,26.745,6.935,18.631,1.6085,32.602,13.845,24.112,1.0939,18.321,2.2629,4.8738,2.2769,0.017866,0.8357,0.098577,53.724,43.828,62.803,53.703,24.554,59.795,22.24,40.138,43.949,49.243,47.392,41.81,15.514
5,0.27164,3679.9,4537.9,9.4216,26.952,42.324,2709.7,74.587,120.39,0.33974,80.509,49.161,2638.4,25.02,51.03,3106.4,23.553,65.838,228.04,341.45,94.554,77.813,32.202,8.7859,26.44,6.9842,18.845,1.6787,33.169,14.008,23.787,1.1694,18.595,2.2878,4.8729,2.2453,0.017866,0.8357,0.098577,53.724,43.828,62.288,54.006,27.037,59.409,22.462,40.351,35.63,48.919,47.649,41.632,16.615
6,0.27323,3659.9,4535.7,9.4744,27.042,42.406,2708.8,75.482,120.39,0.33893,80.387,48.604,2637.4,25.063,50.742,3107.7,22.517,65.904,231.8,341.34,94.522,77.292,32.202,8.7859,26.44,6.9842,18.845,1.6787,33.169,14.008,23.787,1.1694,18.595,2.2878,4.8729,2.2453,0.010629,0.84603,0.11157,53.153,42.701,62.634,54.033,26.88,60.146,22.089,40.45,33.993,48.252,47.306,40.884,19.09
7,0.25047,3661.1,4504.3,9.1688,27.27,42.555,2704.8,74.858,120.4,0.35642,80.001,50.43,2633.4,24.557,49.927,3102.0,23.3,65.848,228.68,341.57,94.69,76.945,32.336,8.8068,26.32,7.0681,19.011,1.6743,32.688,13.792,24.005,1.4192,18.749,2.2654,4.8205,2.2888,0.010629,0.84603,0.11157,53.153,42.701,62.108,53.89,24.821,63.811,22.449,42.827,39.364,46.364,47.581,41.279,17.278
8,0.25342,3600.3,4514.9,9.4181,26.826,42.178,2701.7,75.229,120.37,0.35359,79.672,49.485,2630.3,26.006,51.019,3098.2,22.692,65.724,230.58,342.09,94.774,76.718,32.336,8.8068,26.32,7.0681,19.011,1.6743,32.688,13.792,24.005,1.4192,18.749,2.2654,4.8205,2.2888,0.010629,0.84603,0.11157,53.153,42.701,63.155,53.763,24.53,62.674,22.189,43.173,36.585,48.893,47.416,40.138,18.771
9,0.23795,3558.5,4502.6,9.4645,26.941,41.859,2703.4,75.357,120.38,0.33788,79.691,51.04,2631.9,23.228,50.13,3098.4,23.571,65.573,231.68,342.45,94.774,76.926,32.534,8.8688,26.139,6.7705,18.389,1.6491,33.233,13.673,23.945,1.3522,18.583,2.229,4.8125,2.4014,0.010629,0.84603,0.11157,53.153,42.701,63.001,53.477,23.337,61.408,22.558,39.423,41.16,46.835,47.327,40.464,16.699
10,0.23806,3582.9,4482.0,9.3385,26.839,41.97,2706.7,74.215,120.4,0.33659,79.921,48.46,2635.8,23.917,50.891,3100.8,23.662,65.565,230.62,342.6,94.804,77.514,32.534,8.8688,26.139,6.7705,18.389,1.6491,33.233,13.673,23.945,1.3522,18.583,2.229,4.8125,2.4014,0.010629,0.84603,0.11157,53.153,42.701,62.581,53.724,23.327,60.432,22.796,39.579,33.568,48.595,47.43,40.216,16.438
