sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
1,0.24971,3642.1,4553.2,9.453,27.026,42.454,2705.1,75.512,120.4,0.33673,80.098,52.069,2633.1,25.983,50.255,3102.4,23.169,65.748,230.23,341.1,94.584,77.445,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.43,53.454,24.723,61.446,22.013,40.112,44.189,47.125,47.452,41.11,17.581
2,0.24867,3648.2,4508.1,9.2474,26.782,42.194,2705.8,74.686,120.4,0.33781,80.188,50.328,2635.5,25.512,49.732,3102.3,22.015,65.745,231.44,341.6,94.584,77.296,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.324,53.994,24.826,62.161,22.331,39.98,39.064,45.915,47.344,40.47,20.32
3,0.25237,3688.7,4526.9,9.3828,27.06,42.695,2703.5,75.384,120.39,0.3385,80.005,49.305,2632.5,23.963,49.294,3102.1,22.753,65.743,230.11,340.95,94.593,77.153,31.994,8.8282,26.274,6.9351,18.649,1.6445,32.392,13.987,24.047,1.1087,18.163,2.2635,4.8133,2.3082,0.017866,0.8357,0.098577,53.724,43.828,62.628,53.768,24.47,63.354,22.124,39.894,36.054,44.899,47.46,41.396,18.587
4,0.24905,3638.9,4543.8,9.3475,26.791,42.191,2704.4,75.006,120.39,0.33967,80.06,48.417,2633.1,25.712,50.567,3101.2,23.439,65.712,231.56,341.79,94.602,77.149,31.994,8.8282,26.274,6.9351,18.649,1.6445,32.392,13.987,24.047,1.1087,18.163,2.2635,4.8133,2.3082,0.017866,0.8357,0.098577,53.724,43.828,63.486,53.566,24.796,60.781,22.194,39.751,33.441,47.846,47.334,40.661,16.966
5,0.27055,3662.2,4517.3,9.3811,26.891,42.468,2703.2,74.509,120.4,0.35325,79.855,49.422,2632.0,26.342,49.536,3100.9,22.998,65.673,231.68,341.13,94.708,76.918,32.39,8.9642,26.103,6.7393,19.044,1.6586,33.407,13.861,24.202,1.242,18.662,2.242,4.8148,2.3008,0.017866,0.8357,0.098577,53.724,43.828,62.594,54.206,26.557,59.579,22.099,42.607,36.4,45.461,47.327,41.19,18.045
6,0.26963,3624.8,4549.9,9.2671,27.014,42.267,2704.3,74.475,120.39,0.35174,79.966,49.913,2633.3,25.37,49.438,3102.4,23.15,65.624,231.05,341.45,94.608,77.812,32.39,8.9642,26.103,6.7393,19.044,1.6586,33.407,13.861,24.202,1.242,18.662,2.242,4.8148,2.3008,0.032975,0.82921,0.083795,53.972,43.491,63.237,53.817,26.649,61.264,22.179,42.791,37.844,45.233,47.39,41.273,17.633
7,0.23149,3709.3,4483.6,9.2471,26.807,42.203,2708.6,73.929,120.43,0.34226,80.331,50.462,2638.3,26.315,51.332,3104.1,22.721,65.667,230.45,341.49,94.6,77.713,32.011,8.9014,26.184,7.0205,18.842,1.7029,33.102,14.053,23.751,1.2764,18.647,2.2811,4.828,2.2543,0.032975,0.82921,0.083795,53.972,43.491,63.542,53.629,22.866,61.912,22.579,40.714,39.46,49.617,47.444,41.415,18.629
8,0.23078,3717.6,4473.0,9.3779,26.615,42.215,2707.3,75.118,120.41,0.34207,80.406,48.735,2636.5,25.473,51.019,3104.9,22.091,65.75,230.81,341.39,94.3,77.453,32.011,8.9014,26.184,7.0205,18.842,1.7029,33.102,14.053,23.751,1.2764,18.647,2.2811,4.828,2.2543,0.032975,0.82921,0.083795,53.972,43.491,63.4,53.755,22.936,60.84,22.274,40.737,34.378,48.893,47.407,41.054,20.123
9,0.26848,3629.5,4512.4,9.3748,26.74,42.697,2703.8,74.753,120.39,0.36488,80.179,49.315,2631.3,25.258,50.793,3103.1,22.685,65.797,228.47,340.73,94.756,76.983,32.425,8.8128,26.48,6.6637,19.198,1.6545,32.421,13.792,24.116,1.3997,18.724,2.2211,4.8893,2.3293,0.032975,0.82921,0.083795,53.972,43.491,62.451,53.752,26.405,60.444,21.673,43.29,36.084,48.37,47.611,40.98,18.744
10,0.26939,3653.4,4480.9,9.2838,27.112,42.207,2702.4,75.261,120.4,0.3648,79.932,51.062,2630.2,22.713,51.415,3099.8,23.821,65.752,231.12,341.16,94.752,77.169,32.425,8.8128,26.48,6.6637,19.198,1.6545,32.421,13.792,24.116,1.3997,18.724,2.2211,4.8893,2.3293,0.032975,0.82921,0.083795,53.972,43.491,62.039,54.129,26.316,62.921,21.956,43.3,41.224,49.81,47.375,41.126,16.057
11,0.22988,3743.5,4426.2,9.4079,27.008,42.395,2704.9,74.851,120.4,0.33521,80.074,50.945,2632.8,26.978,50.013,3101.0,23.873,65.717,229.14,342.01,94.601,77.064,32.249,8.7145,26.359,6.8334,18.884,1.598,32.662,13.718,24.078,1.3132,18.925,2.3111,4.875,2.3051,0.01066,0.82773,0.10286,53.662,43.975,63.657,53.868,22.277,60.993,22.253,40.091,40.881,46.563,47.382,41.414,15.944
12,0.22774,3753.6,4450.6,9.2445,27.214,42.868,2705.1,75.637,120.43,0.33697,80.146,50.498,2634.0,25.234,50.629,3101.6,22.622,65.712,229.2,341.5,94.444,77.688,32.249,8.7145,26.359,6.8334,18.884,1.598,32.662,13.718,24.078,1.3132,18.925,2.3111,4.875,2.3051,0.01066,0.82773,0.10286,53.662,43.975,63.483,53.575,22.487,60.329,22.457,39.876,39.565,47.99,47.304,41.624,18.861
